Species,Body_mass_g,Scavenger,Vertebrates,Insects,Worms,Crustaceans,Molluscs,Fish,Seeds,Fruits,Plants,Nectar,Sap,Foraging_technique,Foraging_stratum_terr/aquatic,Foraging_stratum_betw_1_and_2,Foraging_stratum_above_2m,Foraging_stratum_air,Social_Foraging,Diurnal,Crepuscular,Nocturnal,Seasonality,Irruptive,Duration,Mean_frequency,Entropy
Colaptes_auratus,142,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,0.2319922,3.620802657,0.650197737
Columba_livia,340,0,0,0,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,0.5020469,1.637428,0.6315956
Columbina_inca,47.5,0,0,0,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,0.6091073,2.91906,0.7747752
Contopus_cooperi,32.1,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,0,1,0,Solitary,1,0,0,T,0,0.7494884,2.9902,0.7090337
Contopus_sordidulus,13.1,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,T,0,0.5716236,4.150957,0.651758
Corvus_brachyrhynchos,376,1,1,1,0,0,0,0,1,1,0,0,0,Ground forager,1,0,0,0,Aggregation,1,0,0,WV,0,1.931581,2.796123,0.779304
Corvus_cryptoleucus,512,1,1,1,0,0,0,0,1,1,0,0,0,Ground forager,1,0,0,0,Aggregation,1,0,0,PR,0,0.3823925,1.761946,0.6948451
Cyanocitta_stelleri,128,0,0,1,0,0,0,0,1,1,0,0,0,Ground forager,1,0,0,0,Bonded,1,0,0,WV,1,1.029699,3.437017,0.7973835
Egretta_thula,371,0,0,1,0,1,0,1,0,0,0,0,0,Stalker and striker,1,0,0,0,Aggregation,1,0,0,PR,0,0.5866352,1.938367,0.7539164
Elanus_leucurus,346,0,1,0,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,1,0,0,WV,0,4.429732,3.758793,0.7331745
Empidonax_hammondii,10.3,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,T,0,0.06287323,3.980508,0.6883652
Empidonax_minimus,10,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,T,0,0.04104643,4.256579,0.7691585
Empidonax_oberholseri,10.4,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,T,0,0.1932556,4.470189,0.6952621
Empidonax_occidentalis,11.6,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,T,0,0.2732665,3.681205,0.662472
Empidonax_traillii,13.7,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,T,0,0.319739,4.511486,0.7755493
Empidonax_wrightii,12.3,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,T,0,0.2309599,4.137736,0.7235604
Euphagus_cyanocephalus,58.1,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.048197123,3.578757839,0.838000083
Falco_columbarius,218,0,1,1,0,0,0,0,0,0,0,0,0,Air hawker,0,1,0,0,Solitary,1,0,0,WV,0,0.70649625,4.022430468,0.743554647
Falco_mexicanus,908,0,1,0,0,0,0,0,0,0,0,0,0,Air hawker,0,1,0,0,Solitary,1,0,0,WV,0,0.477727072,3.786975603,0.748330639
Falco_peregrinus,959,0,1,0,0,0,0,0,0,0,0,0,0,Air hawker,0,1,0,0,Solitary,1,0,0,T,0,0.376981515,3.146437716,0.784473375
Falco_sparverius,120,0,1,1,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Bonded,1,0,0,PR,0,0.172449812,4.257967219,0.710137345
Fulica_americana,560,0,0,1,0,0,0,0,1,0,1,0,0,Surface dipper,1,0,0,0,Solitary,1,0,0,PR,0,0.0521027,2.922853072,0.852677749
Gallinago_delicata,116,0,0,1,1,0,0,0,1,0,0,0,0,Prober,1,0,0,0,Bonded,1,0,0,WV,0,1.600114119,2.670117678,0.730249339
Gallinula_galeata,349,0,0,1,0,0,0,0,1,0,1,0,0,Surface dipper,1,0,0,0,Solitary,1,0,0,PR,0,0.45301194,2.07720429,0.679036525
Geococcyx_californianus,376,0,1,1,0,0,0,0,0,0,0,0,0,Ground chaser,1,0,0,0,Solitary,1,0,0,PR,0,3.21398374,1.465822684,0.66734713
Geothlypis_tolmiei,10.4,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Solitary,1,0,0,T,0,0.3541207,5.464518,0.6834125
Geothlypis_trichas,9.2,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Bonded,1,0,0,SR,0,0.4583035,4.075293,0.7485654
Haemorhous_mexicanus,21.4,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,3.04177127,4.106636933,0.78396156
Himantopus_mexicanus,170,0,0,1,0,0,0,1,0,0,1,0,0,Prober,1,0,0,0,Bonded,1,0,1,PR,0,0.04067893,3.711184054,0.723892081
Hirundo_rustica,15.8,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,1,0,0,SR,0,0.8849548,3.631955,0.7463641
Icteria_virens,25.4,0,0,1,0,0,0,0,0,1,0,0,0,Foliage gleaner,0,1,0,0,Solitary,1,0,0,SR,0,0.2585263,4.325645,0.7917574
Icterus_bullockii,37.9,0,0,1,0,0,0,0,0,1,0,1,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,SR,0,0.5875808,2.84998,0.6713075
Icterus_parisorum,37.4,0,0,1,0,0,0,0,0,1,0,1,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,SR,0,0.6954551,3.716268,0.818927
Ictinia_mississippiensis,311,0,0,1,0,0,0,0,0,0,0,0,0,Air hawker,0,0,0,1,Solitary,1,0,0,SR,0,0.92228986,5.355656416,0.825586416
Junco_hyemalis,17.9,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.5411937,4.427696,0.7936584
Lanius_ludovicianus,47.7,0,1,1,0,0,0,0,0,0,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,PR,0,0.4196444,3.853427,0.7533679
Larus_delawarensis,471,0,0,1,1,1,1,1,0,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.11521278,1.313922165,0.644038991
Limnodromus_scolopaceus,109,0,0,1,0,0,1,0,1,0,1,0,0,Prober,1,0,0,0,Bonded,1,0,1,WV,0,0.1001268,3.30399,0.7505776
Lophodytes_cucullatus,680,0,0,1,0,1,1,1,0,0,0,0,0,Surface diver,1,0,0,0,Bonded,1,0,0,WV,0,0.184882716,2.210242179,0.745332721
Loxia_curvirostra,36.4,0,0,0,0,0,0,0,1,0,0,0,0,Foliage gleaner,0,0,1,0,Bonded,1,0,0,WV,1,0.3116273,3.289766,0.7544243
Megaceryle_alcyon,148,0,0,0,0,0,0,1,0,0,0,0,0,Water plunger,1,0,0,0,Solitary,1,0,0,WV,0,0.62181272,4.032038751,0.776109435
Melospiza_georgiana,16.1,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.06836686,5.41901,0.7429755
Melospiza_lincolnii,16.6,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,0.2434639,5.460871,0.7203829
Melospiza_melodia,19.5,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,0.7215352,4.669354,0.786141
Melozone_fusca,44.4,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,PR,0,1.37794039,3.927867009,0.76864594
Mergus_merganser,1232,0,0,1,0,1,1,1,0,0,0,0,0,Surface diver,1,0,0,0,Solitary,1,0,0,WV,0,0.52177982,2.158903639,0.754565715
Mimus_polyglottos,48.5,0,0,1,0,0,0,0,0,1,0,0,0,Ground gleaner,1,0,0,0,Pair,1,0,0,PR,0,0.8987588,3.507199,0.7111812
Mniotilta_varia,10.9,0,0,1,0,0,0,0,0,0,0,0,0,Bark gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.5221601,6.405691,0.7935499
Molothrus_aeneus,56.9,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,SR,0,1.295312,6.323862,0.8128336
